1rb|1rb
##|##
ayent|ayent
de|de
lor|lor
proïce|proïce
envie|envie
##|##
*|*
p|p
amender|amender
lor|lor
fausse|fausse
vie|vie
##|##
*|*
p|p
les|les
anciens|anciens
remanbrer|remanbrer
##|##
vos|vos
voill|voill
dire|dire
et|et
raconter|raconter
##|##
ensi_com|ensi_com
ay|ay
escrit|escrit
trové|trové
##|##
d’|d’
on|on
estoyre|estoyre
la|la
verité|verité
##|##
à|à
ceuz|ceuz
qui|qui
firent|firent
le|le
biauz|biauz
faiz|faiz
##|##
*|*
p|p
quoi|quoi
li|li
contes|contes
est|est
retraiz|retraiz
##|##
devonsmes|devonsmes
nos|nos
toz_jorz|toz_jorz
entandre|entandre
##|##
car|car
adés|adés
y|y
puet|puet
om|om
enprandre|enprandre
##|##
que|que
cil|cil
mantenoient|mantenoient
onor|onor
##|##
proëce|proëce
et|et
foy|foy
et|et
amor|amor
##|##
à|à
cel|cel
tenps|tenps
estoit|estoit
amors|amors
vive|vive
##|##
que|que
or|or
est|est
morte|morte
et|et
chative|chative
##|##
de|de
ce|ce
fu|fu
dame|dame
et|et
roïne|roïne
##|##
or|or
est|est
avere|avere
et|et
frarine|frarine
##|##
lors|lors
estoit|estoit
d’|d’
onor|onor
coronee|coronee
##|##
or|or
est|est
*|*
p|p
covoitise|covoitise
tuee|tuee
##|##
non|non
avoit|avoit
pas|pas
enjant|enjant
ne|ne
vice|vice
##|##
or|or
se|se
muert|muert
car|car
por|por
avarice|avarice
##|##
or|or
ne|ne
quiert|quiert
pas|pas
amors|amors
noblece|noblece
##|##
des|des
celui|celui
vuel|vuel
qui|qui
a|a
richece|richece
##|##
ou|ou
soit|soit
gentis|gentis
o|o
soit|soit
valains|valains
##|##
amors|amors
tent|tent
par_trestot|par_trestot
les|les
mains|mains
##|##
[|[
.|.
.|.
.|.
]|]
est|est
vilain|vilain
cuvers|cuvers
provez|provez
##|##
sol_que|sol_que
[|[
.|.
.|.
.|.
]|]
deniers|deniers
assez|assez
##|##
bien|bien
ert|ert
servis|servis
et|et
receüs|receüs
##|##
mes|mes
il|il
n’|n’
est|est
*|*
mlt|mlt
tost|tost
deceüs|deceüs
##|##
car|car
il|il
ne|ne
set|set
ne|ne
il|il
ne|ne
voit|voit
##|##
coment|coment
li|li
avoirs|avoirs
le|le
decoit|decoit
##|##
quant|quant
le|le
conquiert|conquiert
n’|n’
a|a
joie|joie
vaine|vaine
##|##
et|et
quant|quant
le|le
pert|pert
dolor|dolor
certaine|certaine
##|##
ne|ne
puet|puet
pas|pas
garder|garder
longemant|longemant
##|##
qui|qui
no|no
·l|·l
perde|perde
qui|qui
nos|nos
despant|despant
##|##
avoirs|avoirs
est|est
perdus|perdus
mante|mante
part|part
##|##
avars|avars
hom|hom
n’|n’
iert|iert
ja|ja
sengart|sengart
##|##
qui|qui
pert|pert
en|en
terre|terre
et|et
pert|pert
en|en
mer|mer
##|##
*|*
p|p
robeörs|robeörs
et|et
*|*
p|p
enbler|enbler
##|##
*|*
p|p
mal|mal
seignor|seignor
pert|pert
et|et
*|*
p|p
guerre|guerre
##|##
quant|quant
muert|muert
pert|pert
l’|l’
avoir|avoir
et|et
la|la
terre|terre