3ra|3ra
##|##
cil|cil
qui|qui
a|a
cuer|cuer
et|et
vasselage|vasselage
##|##
et|et
welt|welt
amer|amer
de|de
bon|bon
corage|corage
##|##
il|il
doit|doit
oïr|oïr
et|et
escouter|escouter
##|##
ce|ce
que|que
aymes|aymes
welt|welt
raconter|raconter
##|##
assez|assez
i|i
puet|puet
de|de
bien|bien
aprendre|aprendre
##|##
qui|qui
de|de
bon|bon
cuer|cuer
i|i
velt|velt
entendre|entendre
##|##
or|or
oiés|oiés
signour|signour
que|que
ge|ge
dis|dis
##|##
aymes|aymes
pour|pour
amour|amour
aualis|aualis
##|##
fist|fist
le|le
roumans|roumans
si|si
sagement|sagement
##|##
que|que
tez|tez
l’|l’
orra|orra
qui|qui
ne|ne
l’|l’
entent|entent
##|##
por_quoi|por_quoi
il|il
fu|fu
et|et
fais|fais
et|et
dis|dis
##|##
por|por
malina|malina
li|li
dis|dis
fu|fu
dis|dis
##|##
tous_jors_mais|tous_jors_mais
en|en
iert|iert
ramenbrance|ramenbrance
##|##
il|il
ne|ne
fu|fu
mie|mie
fais|fais
en|en
france|france
##|##
mais|mais
en|en
la|la
langue|langue
de|de
francois|francois
##|##
le|le
fist|fist
aymes|aymes
en|en
lionnois|lionnois
##|##
aymes|aymes
i|i
mist|mist
s’|s’
ententïon|ententïon
##|##
le|le
roumans|roumans
fist|fist
à|à
chastillon|chastillon
##|##
de|de
phellipon|phellipon
de|de
macedoine|macedoine
##|##
qui|qui
fu|fu
norris|norris
em|em
babiloine|babiloine
##|##
et|et
dou|dou
fil|fil
le|le
duc|duc
mataquas|mataquas
##|##
qui|qui
estoit|estoit
sires|sires
de|de
duras|duras
##|##
florimont|florimont
ot|ot
non|non
en|en
francois|francois
##|##
et|et
oulineos|oulineos
en|en
grijois|grijois
##|##
rois|rois
fu|fu
et|et
si|si
conquist|conquist
assez|assez
##|##
dirai|dirai
vous|vous
en|en
se|se
m’|m’
escoutez|escoutez
##|##
de_sor|de_sor
saine|saine
à|à
chastillon|chastillon
##|##
estoit|estoit
aymes|aymes
une|une
saison|saison
##|##
si|si
se|se
porpensa|porpensa
del’|del’
estoire|estoire
##|##
que|que
il|il
avoit|avoit
en|en
son|son
mimoire|mimoire
##|##
il|il
l’|l’
avoit|avoit
en|en
grece|grece
veüe|veüe
##|##
mais|mais
n’|n’
estoit|estoit
pas|pas
partout|partout
seüe|seüe