3rb|3rb
##|##
à|à
phellipople|phellipople
la|la
trouva|trouva
##|##
à|à
chastillons|chastillons
l’|l’
en|en
aporta|aporta
##|##
ensis_comme|ensis_comme
il|il
l’|l’
avoit|avoit
aprise|aprise
##|##
l’|l’
a|a
dou|dou
roumans|roumans
fait|fait
*|*
p|p
devise|devise
##|##
aymes|aymes
de|de
varennes|varennes
retrait|retrait
##|##
des|des
anciens|anciens
ce|ce
qu’|qu’
il|il
ont|ont
fait|fait
##|##
les|les
fais|fais
conte|conte
des|des
anciens|anciens
##|##
que|que
tout|tout
cil|cil
qui|qui
ont|ont
les|les
cuers|cuers
lens|lens
##|##
aient|aient
de|de
lor|lor
prouese|prouese
envie|envie
##|##
pour|pour
amender|amender
lor|lor
fausse|fausse
vie|vie
##|##
pour|pour
les|les
anciens|anciens
ramembrer|ramembrer
##|##
vous|vous
wel|wel
dire|dire
et|et
riconter|riconter
##|##
si_comme|si_comme
en|en
escript|escript
ai|ai
trouvé|trouvé
##|##
d’|d’
une|une
estoire|estoire
la|la
verté|verté
##|##
de|de
ciaus|ciaus
qui|qui
firent|firent
les|les
bons|bons
fais|fais
##|##
de|de
quoi|quoi
cis|cis
roumans|roumans
est|est
ci|ci
fais|fais
##|##
devonsme|devonsme
nous|nous
adés|adés
entendre|entendre
##|##
car|car
tous_dis|tous_dis
i|i
puet|puet
on|on
aprendre|aprendre
##|##
[|[
.|.
.|.
.|.
]|]
maintenoient|maintenoient
hounours|hounours
##|##
[|[
.|.
.|.
.|.
]|]
prouesces|prouesces
fois|fois
et|et
amours|amours
##|##
à|à
cel|cel
tens|tens
estoit|estoit
amours|amours
vive|vive
##|##
qui|qui
or|or
est|est
morte|morte
et|et
chative|chative
##|##
de|de
joie|joie
fu|fu
dame|dame
et|et
roïne|roïne
##|##
et|et
or|or
est|est
morte|morte
et|et
chaitive|chaitive
##|##
lors|lors
estoit|estoit
d’|d’
ounour|ounour
coronnee|coronnee
##|##
or|or
est|est
d’|d’
avarice|avarice
tuee|tuee
##|##
lors|lors
n’|n’
avoit|avoit
pas|pas
engien|engien
ne|ne
vice|vice
##|##
mais|mais
or|or
se|se
muert|muert
par|par
avarice|avarice
##|##
or|or
ne|ne
welt|welt
pas|pas
amors|amors
noblesce|noblesce
##|##
mais|mais
cellui|cellui
welt|welt
qui|qui
a|a
richesce|richesce
##|##
ou|ou
soit|soit
gentis|gentis
ou|ou
soit|soit
vilains|vilains
##|##
amours|amours
tent|tent
par|par
tout|tout
luis|luis
ses|ses
mains|mains
##|##
s|s
'|'
il|il
ert|ert
cuvers|cuvers
vilains|vilains
provez|provez
##|##
mais|mais
que|que
il|il
ait|ait
avoir|avoir
assez|assez
##|##
bien|bien
iert|iert
servis|servis
et|et
retenus|retenus
##|##
mais|mais
il|il
iert|iert
*|*
mlt|mlt
tos|tos
decheüs|decheüs
##|##
car|car
il|il
ne|ne
scet|scet
ne|ne
il|il
ne|ne
voit|voit
##|##
comment|comment
li|li
amours|amours
le|le
decoit|decoit
##|##
quant|quant
la|la
conquiert|conquiert
sa|sa
joi|joi
plainne|plainne
##|##
et|et
quant|quant
la|la
pert|pert
travail|travail
et|et
painne|painne
##|##
ne|ne
la|la
puet|puet
garder|garder
longement|longement
##|##
que|que
ne|ne
·l|·l
perde|perde
que|que
ne|ne
·l|·l
despent|despent
##|##
aveirs|aveirs
se|se
pert|pert
e|e
·mainte|·mainte
part|part
##|##
aveirs|aveirs
hon|hon
n’|n’
iert|iert
ja|ja
fors|fors
renart|renart
##|##
qui|qui
·l|·l
pert|pert
en|en
terre|terre
il|il
pert|pert
en|en
mer|mer
##|##
par|par
robeours|robeours
et|et
par|par
embler|embler
##|##
par|par
mal|mal
signour|signour
pert|pert
et|et
par|par
guerre|guerre
##|##
quant|quant
muert|muert
l’|l’
avoir|avoir
pert|pert
et|et
la|la
terre|terre