a|a||||||
ai|ai||||||
aidier|aidier||||||
alixandre|alixandre||||||
amasse|amasse||||||
amours|amours||||||
aprés|aprés||||||
assez|assez||||||
atant|atant||||||
auqués|auqués||||||
autre|autre||||||
aventure|aventure||||||
avez|avez||||||
aymes|aymes||||||
bon|bon||||||
bons|bons||||||
ce|ce||||||
chevallerie|chevallerie||||||
ci|ci||||||
conquester|conquester||||||
conquiert|conquiert||||||
conquist|conquist||||||
conte|conte||||||
conteour|conteour||||||
contes|contes||||||
courtoisie|courtoisie||||||
dame|dame||||||
de|de||||||
de_fit|de_fit||||||
dener|dener||||||
des|des||||||
despendre|despendre||||||
despent|despent||||||
deuz|deuz||||||
di|di||||||
dirai|dirai||||||
dis|dis||||||
dist|dist||||||
doit|doit||||||
dont|dont||||||
dou|dou||||||
d’|d’||||||
en|en||||||
encore|encore||||||
ensis|ensis||||||
entendez|entendez||||||
escoutez|escoutez||||||
est|est||||||
estoire|estoire||||||
et|et||||||
faites|faites||||||
florimont|florimont||||||
flour|flour||||||
fu|fu||||||
ge|ge||||||
gent|gent||||||
guerpist|guerpist||||||
haïs|haïs||||||
hounors|hounors||||||
iert|iert||||||
il|il||||||
je|je||||||
joïr|joïr||||||
la|la||||||
laissier|laissier||||||
lait|lait||||||
largece|largece||||||
largesce|largesce||||||
lasse|lasse||||||
le|le||||||
les|les||||||
li|li||||||
liplus|liplus||||||
lors|lors||||||
loëz|loëz||||||
là_où|là_où||||||
l’|l’||||||
mainte|mainte||||||
maintenir|maintenir||||||
mais|mais||||||
me|me||||||
mere|mere||||||
mestier|mestier||||||
mimoire|mimoire||||||
mlt|mlt||||||
mon|mon||||||
mort|mort||||||
ne|ne||||||
neent|neent||||||
nez|nez||||||
n’|n’||||||
oiés|oiés||||||
olimpias|olimpias||||||
on|on||||||
or|or||||||
ounour|ounour||||||
oït|oït||||||
pais|pais||||||
pas|pas||||||
pau|pau||||||
peres|peres||||||
pert|pert||||||
peu|peu||||||
phellipon|phellipon||||||
porce_que|porce_que||||||
porront|porront||||||
prendre|prendre||||||
princes|princes||||||
pris|pris||||||
prouesce|prouesce||||||
puet|puet||||||
quar|quar||||||
que|que||||||
qui|qui||||||
qu’|qu’||||||
ramembrez|ramembrez||||||
repairier|repairier||||||
riche|riche||||||
roi|roi||||||
rois|rois||||||
sa|sa||||||
sai|sai||||||
sans|sans||||||
savez|savez||||||
ses|ses||||||
siecle|siecle||||||
signor|signor||||||
signour|signour||||||
son|son||||||
sont|sont||||||
teiz|teiz||||||
tost|tost||||||
tout|tout||||||
trover|trover||||||
uns|uns||||||
valour|valour||||||
vaut|vaut||||||
veüt|veüt||||||
viennent|viennent||||||
vous|vous||||||
wel|wel||||||
·l|·l||||||
à|à||||||
àl’|àl’||||||